Name,Category,Subscribers,Created_At
rusyerevantoday,Commercialnews,8649,September 2020
radlekukh,Commercialnews,15191,August 2019
riakatysha,Commercialnews,70657,August 2017
vzglyad_ru,Commercialnews,111899,March 2017
zvezdanews,Commercialnews,135095,July 2017
absatzmedia,Commercialnews,136838,December 2021
bloknot_rossiya,Commercialnews,254119,March 2019
ostorozhno_novosti,Commercialnews,1609358,April 2021
readovkanews,Commercialnews,2052925,March 2018
breakingmash,Commercialnews,3301129,May 2017
Readovkaru,Commercialnews,n/u,n/u
lomovkaa,Commercialnews,n/u,n/u
annarevyakina,Expert,11432,December 2017
yakemenko,Expert,34053,September 2017
historiographe,Expert,49898,June 2019
sbagdasarov,Expert,52440,October 2019
barantchik,Expert,80310,September 2021
su2050,Expert,82639,March 2019
dr_alex_sosnowski,Expert,123474,February 2018
khazinml,Expert,253084,February 2021
zakharprilepin,Expert,257772,January 2020
yurasumy,Expert,3032338,December 2018
orchestra_w,Government,29041,June 2023
government_rus,Government,192125,August 2021
news_kremlin,Government,295714,April 2022
mod_russia,Government,639581,December 2016
Wek_ru,Grassrootsnews,1724,August 2019
RIA82rf,Grassrootsnews,2497,August 2017
military_corner,Grassrootsnews,2590,March 2020
SEVASTOP0L,Grassrootsnews,3632,August 2018
T34newsfeed,Grassrootsnews,8257,October 2019
akitilop,Grassrootsnews,8553,May 2017
adirect,Grassrootsnews,14112,April 2017
vzbod,Grassrootsnews,15192,March 2022
mayday_7700,Grassrootsnews,21087,March 2020
apleonkov,Grassrootsnews,21729,July 2018
skfo_telegraph,Grassrootsnews,23100,April 2019
voenhronika_ru,Grassrootsnews,24164,March 2022
forpost_sev,Grassrootsnews,24191,April 2017
Belarus_VPO,Grassrootsnews,25004,December 2020
chvkmedia,Grassrootsnews,29124,February 2020
RUSSIARB,Grassrootsnews,30499,February 2023
soroka_belaya,Grassrootsnews,32383,May 2021
glavpolit,Grassrootsnews,37069,January 2020
donbassr,Grassrootsnews,47619,April 2021
roy_tv_mk,Grassrootsnews,48770,September 2020
HersonVestnik,Grassrootsnews,52639,March 2022
Ugolok_Sitha,Grassrootsnews,55288,February 2021
WarDonbass,Grassrootsnews,59091,March 2018
kremlebezBashennik,Grassrootsnews,65022,February 2018
contora_pishet,Grassrootsnews,65051,May 2019
denazi_UA,Grassrootsnews,65347,February 2022
surf_noise1,Grassrootsnews,67906,January 2021
regnum_na,Grassrootsnews,68184,June 2017
vizioner_rf,Grassrootsnews,72910,September 2019
luganskallnews,Grassrootsnews,80111,May 2017
kbrvdvkr,Grassrootsnews,84974,April 2017
bye_biden,Grassrootsnews,88105,April 2022
Mestb_Dobroj_Voli,Grassrootsnews,110399,April 2022
ukr_leaks,Grassrootsnews,111353,April 2019
